year,lat,lon,onset_day
1999,50.0,345.0,32.0
1999,50.0,345.25,8.0
1999,50.0,345.5,64.0
1999,50.0,345.75,40.0
1999,50.0,346.0,16.0
1999,50.0,346.25,25.0
1999,50.0,346.5,72.0
1999,50.0,346.75,72.0
1999,50.0,347.0,72.0
1999,50.0,347.25,40.0
1999,50.0,347.5,25.0
1999,50.0,347.75,56.0
1999,50.0,348.0,72.0
1999,50.0,348.25,40.0
1999,50.0,348.5,48.0
1999,50.0,348.75,40.0
1999,50.0,349.0,25.0
1999,50.0,349.25,25.0
1999,50.0,349.5,256.0
1999,50.0,349.75,256.0
1999,50.0,350.0,240.0
1999,50.0,350.25,240.0
1999,50.0,350.5,208.0
1999,50.0,350.75,208.0
1999,50.0,351.0,176.0
1999,50.0,351.25,200.0
1999,50.0,351.5,200.0
1999,50.0,351.75,208.0
1999,50.0,352.0,192.0
1999,50.0,352.25,192.0
1999,50.0,352.5,192.0
1999,50.0,352.75,192.0
1999,50.0,353.0,184.0
1999,50.0,353.25,184.0
1999,50.0,353.5,184.0
1999,50.0,353.75,184.0
1999,50.0,354.0,336.0
1999,50.0,354.25,176.0
1999,50.0,354.5,176.0
1999,50.0,354.75,56.0
1999,50.0,355.0,160.0
1999,50.0,355.25,128.0
1999,50.0,355.5,160.0
1999,50.0,355.75,160.0
1999,50.0,356.0,80.0
1999,50.0,356.25,80.0
1999,50.0,356.5,80.0
1999,50.0,356.75,72.0
1999,50.0,357.0,152.0
1999,50.0,357.25,72.0
1999,50.0,357.5,72.0
1999,50.0,357.75,64.0
1999,50.0,358.0,32.0
1999,50.0,358.25,328.0
1999,50.0,358.5,72.0
1999,50.0,358.75,72.0
1999,50.0,359.0,32.0
1999,50.0,359.25,32.0
1999,50.0,359.5,56.0
1999,50.0,359.75,64.0
1999,50.25,345.0,25.0
1999,50.25,345.25,25.0
1999,50.25,345.5,32.0
1999,50.25,345.75,25.0
1999,50.25,346.0,40.0
1999,50.25,346.25,168.0
1999,50.25,346.5,168.0
1999,50.25,346.75,25.0
1999,50.25,347.0,25.0
1999,50.25,347.25,25.0
1999,50.25,347.5,176.0
1999,50.25,347.75,184.0
1999,50.25,348.0,72.0
1999,50.25,348.25,32.0
1999,50.25,348.5,40.0
1999,50.25,348.75,40.0
1999,50.25,349.0,8.0
1999,50.25,349.25,16.0
1999,50.25,349.5,8.0
1999,50.25,349.75,264.0
1999,50.25,350.0,256.0
1999,50.25,350.25,200.0
1999,50.25,350.5,208.0
1999,50.25,350.75,208.0
1999,50.25,351.0,248.0
1999,50.25,351.25,240.0
1999,50.25,351.5,248.0
1999,50.25,351.75,192.0
1999,50.25,352.0,328.0
1999,50.25,352.25,192.0
1999,50.25,352.5,192.0
1999,50.25,352.75,192.0
1999,50.25,353.0,184.0
1999,50.25,353.25,184.0
1999,50.25,353.5,184.0
1999,50.25,353.75,176.0
1999,50.25,354.0,176.0
1999,50.25,354.25,56.0
1999,50.25,354.5,168.0
1999,50.25,354.75,176.0
1999,50.25,355.25,152.0
1999,50.25,355.5,144.0
1999,50.25,355.75,56.0
1999,50.25,356.0,160.0
1999,50.25,356.25,152.0
1999,50.25,356.5,144.0
1999,50.25,356.75,328.0
1999,50.25,357.0,72.0
1999,50.25,357.25,144.0
1999,50.25,357.5,152.0
1999,50.25,357.75,152.0
1999,50.25,358.0,160.0
1999,50.25,358.25,160.0
1999,50.25,358.5,168.0
1999,50.25,358.75,176.0
1999,50.25,359.0,56.0
1999,50.25,359.25,64.0
1999,50.25,359.5,64.0
1999,50.25,359.75,120.0
1999,50.5,345.0,56.0
1999,50.5,345.25,64.0
1999,50.5,345.5,8.0
1999,50.5,345.75,32.0
1999,50.5,346.0,25.0
1999,50.5,346.25,8.0
1999,50.5,346.5,8.0
1999,50.5,346.75,25.0
1999,50.5,347.0,25.0
1999,50.5,347.25,40.0
1999,50.5,347.5,32.0
1999,50.5,347.75,176.0
1999,50.5,348.0,56.0
1999,50.5,348.25,32.0
1999,50.5,348.5,25.0
1999,50.5,348.75,40.0
1999,50.5,349.0,64.0
1999,50.5,349.25,240.0
1999,50.5,349.5,248.0
1999,50.5,349.75,256.0
1999,50.5,350.0,248.0
1999,50.5,350.25,240.0
1999,50.5,350.5,200.0
1999,50.5,350.75,240.0
1999,50.5,351.0,240.0
1999,50.5,351.25,240.0
1999,50.5,351.5,240.0
1999,50.5,351.75,184.0
1999,50.5,352.0,328.0
1999,50.5,352.25,184.0
1999,50.5,352.5,184.0
1999,50.5,352.75,192.0
1999,50.5,353.0,192.0
1999,50.5,353.25,168.0
1999,50.5,353.5,160.0
1999,50.5,353.75,160.0
1999,50.5,354.0,176.0
1999,50.5,354.25,176.0
1999,50.5,354.5,168.0
1999,50.5,354.75,184.0
1999,50.5,355.0,176.0
1999,50.5,356.5,136.0
1999,50.5,356.75,144.0
1999,50.5,357.0,72.0
1999,50.5,357.25,144.0
1999,50.5,357.5,152.0
1999,50.5,357.75,152.0
1999,50.5,358.0,176.0
1999,50.5,358.25,176.0
1999,50.5,358.5,176.0
1999,50.5,358.75,176.0
1999,50.5,359.0,184.0
1999,50.5,359.25,184.0
1999,50.5,359.5,184.0
1999,50.5,359.75,200.0
1999,50.75,345.0,64.0
1999,50.75,345.25,40.0
1999,50.75,345.5,32.0
1999,50.75,345.75,25.0
1999,50.75,346.0,56.0
1999,50.75,346.25,25.0
1999,50.75,346.5,25.0
1999,50.75,346.75,25.0
1999,50.75,347.0,25.0
1999,50.75,347.25,32.0
1999,50.75,347.5,40.0
1999,50.75,347.75,40.0
1999,50.75,348.0,176.0
1999,50.75,348.25,40.0
1999,50.75,348.5,40.0
1999,50.75,348.75,32.0
1999,50.75,349.0,96.0
1999,50.75,349.25,248.0
1999,50.75,349.5,256.0
1999,50.75,349.75,200.0
1999,50.75,350.0,240.0
1999,50.75,350.25,208.0
1999,50.75,350.5,208.0
1999,50.75,350.75,208.0
1999,50.75,351.0,240.0
1999,50.75,351.25,240.0
1999,50.75,351.5,248.0
1999,50.75,351.75,256.0
1999,50.75,352.0,184.0
1999,50.75,352.25,176.0
1999,50.75,352.5,168.0
1999,50.75,352.75,168.0
1999,50.75,353.0,168.0
1999,50.75,353.25,168.0
1999,50.75,353.5,168.0
1999,50.75,353.75,168.0
1999,50.75,354.0,168.0
1999,50.75,354.25,168.0
1999,50.75,354.5,160.0
1999,50.75,354.75,192.0
1999,50.75,355.0,200.0
1999,50.75,355.25,176.0
1999,50.75,357.0,152.0
1999,50.75,357.25,176.0
1999,50.75,358.25,176.0
1999,50.75,358.5,192.0
1999,50.75,359.0,184.0
1999,50.75,359.25,184.0
1999,50.75,359.5,208.0
1999,50.75,359.75,216.0
1999,51.0,345.0,56.0
1999,51.0,345.25,25.0
1999,51.0,345.5,25.0
1999,51.0,345.75,40.0
1999,51.0,346.0,25.0
1999,51.0,346.25,40.0
1999,51.0,346.5,40.0
1999,51.0,346.75,64.0
1999,51.0,347.0,32.0
1999,51.0,347.25,176.0
1999,51.0,347.5,64.0
1999,51.0,347.75,40.0
1999,51.0,348.0,40.0
1999,51.0,348.25,40.0
1999,51.0,348.5,32.0
1999,51.0,348.75,48.0
1999,51.0,349.0,240.0
1999,51.0,349.25,80.0
1999,51.0,349.5,322.0
1999,51.0,349.75,40.0
1999,51.0,350.0,40.0
1999,51.0,350.25,240.0
1999,51.0,350.5,240.0
1999,51.0,350.75,240.0
1999,51.0,351.0,240.0
1999,51.0,351.25,248.0
1999,51.0,351.5,240.0
1999,51.0,351.75,240.0
1999,51.0,352.0,240.0
1999,51.0,352.25,168.0
1999,51.0,352.5,168.0
1999,51.0,352.75,176.0
1999,51.0,353.0,168.0
1999,51.0,353.25,168.0
1999,51.0,353.5,184.0
1999,51.0,353.75,168.0
1999,51.0,354.0,168.0
1999,51.0,354.25,168.0
1999,51.0,354.5,160.0
1999,51.0,354.75,224.0
1999,51.0,355.0,216.0
1999,51.0,355.25,32.0
1999,51.0,355.5,176.0
1999,51.0,355.75,184.0
1999,51.25,345.0,25.0
1999,51.25,345.25,40.0
1999,51.25,345.5,25.0
1999,51.25,345.75,64.0
1999,51.25,346.0,64.0
1999,51.25,346.25,40.0
1999,51.25,346.5,144.0
1999,51.25,346.75,144.0
1999,51.25,347.0,40.0
1999,51.25,347.25,176.0
1999,51.25,347.5,176.0
1999,51.25,347.75,32.0
1999,51.25,348.0,25.0
1999,51.25,348.25,40.0
1999,51.25,348.5,96.0
1999,51.25,348.75,40.0
1999,51.25,349.0,80.0
1999,51.25,349.25,80.0
1999,51.25,349.5,40.0
1999,51.25,349.75,40.0
1999,51.25,350.0,240.0
1999,51.25,350.25,240.0
1999,51.25,350.5,184.0
1999,51.25,350.75,240.0
1999,51.25,351.0,224.0
1999,51.25,351.25,240.0
1999,51.25,351.5,248.0
1999,51.25,351.75,248.0
1999,51.25,352.0,168.0
1999,51.25,352.25,168.0
1999,51.25,352.5,192.0
1999,51.25,352.75,248.0
1999,51.25,353.0,248.0
1999,51.25,353.25,248.0
1999,51.25,353.5,184.0
1999,51.25,353.75,168.0
1999,51.25,354.0,168.0
1999,51.25,354.25,232.0
1999,51.25,354.5,224.0
1999,51.25,354.75,224.0
1999,51.25,355.0,216.0
1999,51.25,355.25,176.0
1999,51.25,355.5,184.0
1999,51.25,355.75,184.0
1999,51.25,356.0,184.0
1999,51.25,356.25,176.0
1999,51.25,356.5,216.0
1999,51.5,345.0,40.0
1999,51.5,345.25,40.0
1999,51.5,345.5,25.0
1999,51.5,345.75,40.0
1999,51.5,346.0,25.0
1999,51.5,346.25,64.0
1999,51.5,346.5,16.0
1999,51.5,346.75,176.0
1999,51.5,347.0,176.0
1999,51.5,347.25,32.0
1999,51.5,347.5,176.0
1999,51.5,347.75,16.0
1999,51.5,348.0,32.0
1999,51.5,348.25,184.0
1999,51.5,348.5,40.0
1999,51.5,348.75,96.0
1999,51.5,349.0,40.0
1999,51.5,349.25,40.0
1999,51.5,349.5,40.0
1999,51.5,349.75,48.0
1999,51.5,350.0,232.0
1999,51.5,350.25,25.0
1999,51.5,350.5,240.0
1999,51.5,350.75,184.0
1999,51.5,351.0,240.0
1999,51.5,351.25,216.0
1999,51.5,351.5,216.0
1999,51.5,351.75,216.0
1999,51.5,352.0,248.0
1999,51.5,352.25,208.0
1999,51.5,352.5,200.0
1999,51.5,352.75,200.0
1999,51.5,353.0,248.0
1999,51.5,353.25,248.0
1999,51.5,353.5,248.0
1999,51.5,353.75,240.0
1999,51.5,354.0,240.0
1999,51.5,354.25,232.0
1999,51.5,354.5,224.0
1999,51.5,354.75,304.0
1999,51.5,355.0,96.0
1999,51.5,355.25,96.0
1999,51.5,355.5,184.0
1999,51.5,355.75,176.0
1999,51.5,356.0,168.0
1999,51.5,356.25,168.0
1999,51.75,345.0,160.0
1999,51.75,345.25,64.0
1999,51.75,345.5,56.0
1999,51.75,345.75,200.0
1999,51.75,346.0,8.0
1999,51.75,346.25,192.0
1999,51.75,346.5,40.0
1999,51.75,346.75,184.0
1999,51.75,347.0,184.0
1999,51.75,347.25,16.0
1999,51.75,347.5,40.0
